,000300.SH,000905.SH,CBA00651.CS,CBA04031.CS,H11062.CSI,H11063.CSI,H11064.CSI,H11065.CSI
2005-04-25,930.07,841.058,105.5297,,113.96,110.01,105.44,133.47
2005-04-26,937.083,855.24,105.0741,,113.34,111.13,104.02,131.58
2005-04-27,926.604,839.953,105.6896,,113.01,108.68,104.5,131.86
2005-04-28,942.073,860.616,105.6914,,113.16,108.63,104.98,128.94
2005-04-29,932.395,847.611,105.5352,,112.57,109.18,104.47,129.86
2005-05-09,909.174,818.399,105.8803,,112.95,110.15,106.29,130.1
2005-05-10,913.076,818.088,105.9261,,112.85,110.78,105.82,130.55
2005-05-11,901.851,811.57,106.0572,,112.52,109.74,105.42,128.29
2005-05-12,885.82,807.51,106.116,,112.57,108.25,105.69,126.13
2005-05-13,887.543,814.878,106.635,,110.53,104.73,106.25,123.24
2005-05-16,875.271,808.171,106.7961,,110.57,105.23,107.03,124.57
2005-05-17,881.462,818.455,107.1534,,110.29,102.78,107.47,124.32
2005-05-18,883.196,824.643,107.3768,,110.94,103.41,109.03,126.96
2005-05-19,884.171,824.94,107.5859,,111.16,103.49,108.19,123.69
2005-05-20,882.763,819.13,107.8213,,111.16,103.41,108.4,126.81
2005-05-23,863.341,793.724,108.2857,,113.02,102.35,109.9,125.04
2005-05-24,868.456,808.743,108.2261,,112.03,103.58,109.63,126.54
2005-05-25,868.451,809.697,108.5254,,112.34,103.31,109.01,127.12
2005-05-26,857.331,799.024,108.4935,,114.36,103.09,111.31,129.2
2005-05-27,849.508,790.998,108.3669,,115.05,103.62,112.08,128.86
2005-05-30,855.612,797.532,108.2637,,115.07,103.15,112.32,130.06
2005-05-31,855.946,796.872,108.2478,,115.47,101.77,112.35,128.67
2005-06-01,837.532,778.673,108.4344,,114.05,102.34,113.03,129.93
2005-06-02,818.379,769.421,108.4226,,113.7,104.84,113.76,133.44
2005-06-03,818.033,765.967,108.4839,,112.87,106.11,114.33,134.55
2005-06-06,838.997,778.21,108.5236,,115.72,109.89,117.3,139.86
2005-06-07,837.282,779.844,108.6136,,114.55,109.21,117.31,138.49
2005-06-08,905.773,841.36,108.6005,,114.12,107.41,116.71,135.24
2005-06-09,912.604,849.725,108.7942,,114.11,107.53,115.14,133.36
2005-06-10,894.556,831.605,109.1307,,114.32,109.11,117.48,136.14
2005-06-13,892.959,834.252,109.7777,,114.31,109.42,116.37,134.3
2005-06-14,883.537,818.191,109.9923,,113.94,108.24,116.08,136.75
2005-06-15,866.834,796.26,110.4137,,114.63,109.2,115.51,138.11
2005-06-16,879.237,803.945,110.3514,,115.77,109.55,114.8,137.14
2005-06-17,880.345,800.137,110.8872,,116.21,110.61,115.77,137.76
2005-06-20,906.255,823.733,110.8721,,118.45,113.57,116.96,141.4
2005-06-21,896.166,816.197,110.9012,,117.77,112.12,116.68,138.77
2005-06-22,900.646,818.647,111.0733,,118.19,112.32,118.15,139.21
2005-06-23,893.572,809.347,110.9855,,116.42,110.2,118.26,138.47
2005-06-24,898.301,813.203,110.9143,,117.09,111.51,119.2,141.3
2005-06-27,916.043,834.346,110.6238,,116.11,112.08,119.44,141.39
2005-06-28,903.716,819.046,110.6889,,112.63,110.96,119.66,139.89
2005-06-29,898.898,814.064,110.8099,,112.49,109.27,120.42,138.52
2005-06-30,878.686,791.502,110.7221,,110.92,110.85,120.31,138.28
2005-07-01,859.494,760.352,110.8151,,111.81,109.89,122.62,139.33
2005-07-04,855.932,749.483,110.8998,,113.08,108.08,125.16,140.59
2005-07-05,849.679,744.595,111.0628,,113.05,108.83,125.25,141.86
2005-07-06,842.556,743.444,111.3019,,113.61,109.45,126.88,143.72
2005-07-07,844.729,747.418,111.7721,,113.27,110.85,130.16,146.52
2005-07-08,829.489,722.854,112.1008,,113.11,110.88,132.41,147.24
2005-07-11,824.097,714.475,112.1266,,113.14,110.85,131.78,143.93
