,growth,interest,inflation,credit
2015-01-05,1.0,1.0,1.0,1.0
2015-01-06,0.9985006559356541,0.9994397550889516,1.0005512570246182,0.9999457268066118
2015-01-07,0.998196507378957,0.9988745892811169,0.9997746339163337,1.0013957826818127
2015-01-08,0.995788366837322,0.9981599027678422,0.9994092018258439,1.0018409872310265
2015-01-09,0.9952543409038768,0.9978172245856669,0.9988585088575287,1.0015950931398536
2015-01-12,0.9944507299484929,0.9978235066770619,0.9954641147061435,1.0003039717111493
2015-01-13,0.9957460391964701,0.9994943256999098,0.999696623294417,1.0032474229442383
2015-01-14,0.9946700428390362,1.0005054598066805,0.998042597732383,1.003037436492279
2015-01-15,0.9954899785377811,1.0017287731736269,0.9957659576657713,1.000638888942457
2015-01-16,0.9970530877281458,1.0038251057849703,0.9991643471765002,1.0027117337860187
2015-01-19,0.9918769824884323,1.0034717172495742,1.0018054855924705,1.0008026539811261
2015-01-20,0.9934434382407752,1.0039560973021169,1.005423908854008,1.0039609808545538
2015-01-21,0.9949526502897742,1.0049417726865308,1.0030674269214506,1.0028660172135857
2015-01-22,0.9955574573444412,1.0058445683195527,1.0046229821681272,1.0030405326816363
2015-01-23,0.995099315054087,1.0060435181866334,1.0022409609246017,1.0017431000447277
2015-01-26,0.9962761117036193,1.0066810746137989,1.0031899770706043,1.004240687795018
2015-01-27,0.9953813825374417,1.0059002397788044,1.0048523575147665,1.004355853345402
2015-01-28,0.9947254225106384,1.0050680734271917,1.0051050093678395,1.0035021367943702
2015-01-29,0.994389181694538,1.00406576262129,1.0062495856267992,1.0038796443344955
2015-01-30,0.993736970831447,1.0038473899380425,1.0054605905427303,1.0040899350653847
2015-02-02,0.9926133478484114,1.0052201361263728,1.0081689103308225,1.0028985845601088
2015-02-03,0.9939827979887539,1.0061475035566354,1.0075859969369103,1.0021920054308064
2015-02-04,0.9935212925543755,1.0059602857728462,1.0065617479239153,1.0012012623722975
2015-02-05,0.9922153415269784,1.0063375447607186,1.0071577488538177,1.001846255563746
2015-02-06,0.9899605265898276,1.0061501648128164,1.0056085070857712,0.9991514878235221
2015-02-09,0.9906506429000821,1.0057015242705858,1.0006265240300936,0.9962805413939011
2015-02-10,0.9912432596960917,1.0058448733388536,1.0007710451506324,0.9970872562751718
2015-02-11,0.9913106577256309,1.00666091247771,1.0003058171629708,0.9966881990738922
2015-02-12,0.9914014238681294,1.007222418807682,1.0005045927898073,0.997045971333354
2015-02-13,0.9903748496236975,1.0080387435715126,1.00179819419456,0.997715422790123
2015-02-16,0.9903272020786293,1.0095264518842608,1.0040051702206985,0.999342928799489
2015-02-17,0.9907735285221487,1.008673965837074,1.0029569721242966,0.9999192236571885
2015-02-25,0.9897184604100909,1.008641572270883,1.001485325839377,0.9994105795135569
2015-02-26,0.9906131008390187,1.008538760054015,1.0012487686341973,0.9985339226739681
2015-02-27,0.9901450553391781,1.006471167916442,0.9972199941841174,0.9973503054564784
2015-03-02,0.9896511381967645,1.0057185099880708,0.9991371470615784,0.9995075167960907
2015-03-03,0.9855577388064033,1.0057630034041434,1.0020424578036078,1.0018474386476803
2015-03-04,0.9836171910769785,1.006279270564103,1.0034341319393723,1.0027682486004257
2015-03-05,0.9825769208088702,1.0054515676903846,1.0069266054566368,1.0067107119602188
2015-03-06,0.9847147085399728,1.005343603055061,1.00598700692866,1.0057538110663413
2015-03-09,0.9862547364320529,1.00385292403204,1.0052554820370712,1.0057699248995762
2015-03-10,0.9840788249900908,1.0046612562804909,1.0070896600651027,1.0072685246161752
2015-03-11,0.9844889359687811,1.0058664972996625,1.0053868681675098,1.0054878449595985
2015-03-12,0.9873538933249293,1.0057866062884924,1.0034054356308124,1.0036633650167373
2015-03-13,0.9885060361620446,1.0047333029540517,1.0049220664526635,1.0061927713035148
2015-03-16,0.9907773609745912,1.003493268321719,1.0082275312235387,1.0109586537060655
2015-03-17,0.9892230116233386,1.0038851151417538,1.0090768116502715,1.0110739878121389
2015-03-18,0.9926133266603709,1.0036000776572473,1.0093572719453496,1.011722312624928
2015-03-19,0.988582177229121,1.004372877501765,1.0110540071754965,1.0126102797996432
2015-03-20,0.9898734657623216,1.0053513713336122,1.0117583238404788,1.0130685551401482
2015-03-23,0.9870414668307406,1.006222847987573,1.0160698798033256,1.0168261870484998
2015-03-24,0.9838877578191435,1.0069708591489843,1.0168632650729836,1.0164399129373263
2015-03-25,0.979347308601056,1.007931155833946,1.0212233425963255,1.0200449539920984
2015-03-26,0.9804592849091868,1.0065978083720075,1.0208692449581867,1.0193869374277154
2015-03-27,0.9803421638789048,1.0070858319214782,1.022891729928298,1.0213081866165004
2015-03-30,0.9858089016905086,1.0059498917713354,1.0219301283787332,1.0212303406918266
2015-03-31,0.9827519537568123,1.0049273677337742,1.023314106158392,1.0220165578450986
2015-04-01,0.9800849748894269,1.0062628588260938,1.0232023994603467,1.0212840586484675
2015-04-02,0.9738166199435443,1.0083959792123813,1.026735745999455,1.0250593363251768
2015-04-03,0.9729226414458505,1.007006818052081,1.0256010963469655,1.0266381415264325
2015-04-07,0.9694815714451311,1.006668931914239,1.0254897379364933,1.0283536646413067
2015-04-08,0.9720282609810986,1.0035235188125844,1.0240070760673328,1.0296415054721106
2015-04-09,0.9733887711209216,1.003138013837486,1.0236773109011792,1.0306221056976523
2015-04-10,0.9694979381561755,1.0038410351045655,1.0244323550739314,1.03490715266293
2015-04-13,0.9678178641117576,1.0043765240120375,1.022543891878337,1.0322296993503337
2015-04-14,0.9671367643893383,1.0053530503599157,1.0225120869480453,1.029928106379727
