,factor_0,factor_1,factor_2,factor_3,factor_4
2012-01-04,1.0,1.0,1.0,1.0,1.0
2012-01-05,1.0037412326934452,1.0096559227528898,0.9949869445284328,1.0007326770947285,0.9951740734104747
2012-01-06,1.0047195537157485,1.011195196636991,0.9913017252459856,1.0014275642316617,0.9932682575705909
2012-01-09,1.006835153567523,1.0057292007558494,0.9891984192445762,0.9996600536897005,0.99345247550075
2012-01-10,1.0113158666695137,0.9985204430558527,0.9881968967205859,0.9953051572869236,0.9928793770390838
2012-01-11,1.0157164864485149,0.9948262967850995,0.9877258637104975,0.9932758952257938,0.9904756363582123
2012-01-12,1.0189073232901182,0.9921875205052808,0.9868260300195704,0.9921961887665041,0.9876941129766564
2012-01-13,1.0202470676559094,0.9920531518936839,0.986347050016005,0.993891319375708,0.9843637762184079
2012-01-16,1.0207809123805993,0.9937477871732617,0.985789933737367,0.9973824060773745,0.9808327221243093
2012-01-17,1.0244695771609473,0.9928712867737786,0.9855393910124678,0.9994454448951207,0.9775527542016131
2012-01-18,1.0272190460025408,0.9933009629702366,0.9852808985776663,1.0018354669749954,0.974737627758279
2012-01-19,1.030414058234324,0.9931055504585626,0.9846210607376126,1.0035427093059288,0.9719808870686477
2012-01-20,1.0344154462187842,0.9927327134273077,0.9838054224449644,1.0039094568012503,0.9686657913564451
2012-01-30,1.0373114386168951,0.9928276690448777,0.9826480869128664,1.0043040130463485,0.9660342370483803
2012-01-31,1.0402512489186024,0.9930049420576873,0.9814822991363812,1.0049143901618112,0.9630144854213676
2012-02-01,1.0422872803531817,0.9936596551829282,0.9809730997741631,1.0048252297209643,0.961001474132562
2012-02-02,1.044768743681117,0.9936527695774635,0.9807595843127488,1.0044589078692183,0.9591967709300809
2012-02-03,1.047365839878239,0.9933519812028717,0.9806373606940488,1.0038826329221708,0.9572283411528829
2012-02-06,1.0505553669944676,0.9933747225271257,0.9803733760812182,1.0023711620535658,0.9546201646659189
2012-02-07,1.0528574159283932,0.9938954551421246,0.9803708504240792,1.0012255045374403,0.9525932121297574
2012-02-08,1.056321404008853,0.9940649751143733,0.9806361136023507,0.9997618717958002,0.9501864480988499
2012-02-09,1.059290905487996,0.9941597902168396,0.9816068041119262,0.9985731796037738,0.9484394391127595
2012-02-10,1.064386588057002,0.9931384539750121,0.9804469793202026,0.997824987656524,0.9443322389439128
2012-02-13,1.069133725718329,0.991203898365524,0.9795921949769384,0.9962439375549678,0.9408876114654673
2012-02-14,1.0736354941899218,0.9894893258534023,0.9791069950109555,0.9946093899195085,0.9378758818539374
2012-02-15,1.078242940831007,0.9886521191251469,0.9792365331119505,0.9933183574864791,0.9345608396246392
2012-02-16,1.0812932395601784,0.9885519355373148,0.9800013953846436,0.9930098608305771,0.9324365465722767
2012-02-17,1.0843045744278512,0.9884864013126926,0.9807911640039874,0.9920006437573167,0.9307379733993871
2012-02-20,1.0872790704635058,0.9882790591593336,0.9812361550103024,0.9906602806672011,0.9289887360019187
2012-02-21,1.0912589427240913,0.9873617873429222,0.9815595195982135,0.9883405780565641,0.9271717386423087
2012-02-22,1.0958404340868466,0.9853696328015397,0.9821022631920008,0.9852407140598556,0.925510847394367
2012-02-23,1.098973971145448,0.9842863582753469,0.9826925419007415,0.9825338638245817,0.9239646539629622
2012-02-24,1.1023148731630747,0.9821610061674934,0.9833662614437543,0.9794959731890672,0.9226595522963176
2012-02-27,1.1055062778686653,0.9804477885773801,0.9843634465104676,0.9763320739773174,0.9213505532541492
2012-02-28,1.1083331276082478,0.9791283285546266,0.9854881875893812,0.9734303964754759,0.9202966046765798
2012-02-29,1.1114696925781622,0.9780005861222515,0.9867586658228071,0.9706755072302345,0.919422545675945
2012-03-01,1.1139321046431623,0.9766456728550992,0.9885352705911962,0.9681293247522973,0.9194839441155279
2012-03-02,1.117568553159837,0.9746431120718468,0.9900329334820499,0.9658157676778361,0.918610128384806
