,growth,interest,inflation,credit
2014-03-11,0.9853880125492113,1.0201228868930254,0.973882979832876,1.0009396472650245
2014-03-12,0.9853957024492581,1.0216756677344232,0.9718080939490227,1.001536450560135
2014-03-13,0.9851297066182675,1.0225599584987866,0.9699731081828069,1.0020746399892082
2014-03-14,0.9847349585075316,1.0230738031321325,0.9681801982089987,1.0026074720505622
2014-03-17,0.9844842238674691,1.0248768284187715,0.9662037204054778,1.0031230025779798
2014-03-18,0.9840491189004228,1.0235855389639739,0.9644531849454252,1.003600844260337
2014-03-19,0.9834423031289914,1.0231890842810638,0.9626903682466991,1.0040622631507419
2014-03-20,0.9826179446241039,1.022487556313787,0.9605547984170573,1.0044953022766046
2014-03-21,0.982062993604604,1.0233591942691211,0.9582072351101881,1.004880852895541
2014-03-24,0.9819077483030687,1.0233170182390243,0.9558850582690158,1.00518343531934
2014-03-25,0.9819957994561268,1.0236227944572263,0.9539056899831253,1.0053998218988918
2014-03-26,0.9822230702633655,1.0238547626227588,0.9523444413707657,1.0055434412525586
2014-03-27,0.982619802968437,1.0231715109351902,0.9511396208261891,1.005707847487587
2014-03-28,0.9830462348849431,1.0228123117455323,0.9499799249364274,1.0057903253517242
2014-03-31,0.9834047790641515,1.0240164374047964,0.9488965243728952,1.0059676800276705
2014-04-01,0.983791376732519,1.0239904288529034,0.9475724850386243,1.0061142764650743
2014-04-02,0.9841709998447669,1.0233936380270334,0.9460283590140418,1.0061673990001565
2014-04-03,0.9845025269462263,1.022208491581313,0.9443962007987665,1.0062844116504748
2014-04-04,0.9850139592065463,1.0217867312803448,0.9432330741278523,1.0064767164172448
2014-04-07,0.9854280548424845,1.0217867312803448,0.9419625255794618,1.0066893966428185
2014-04-08,0.9862095420061683,1.0221192189842747,0.9413053905311517,1.0069825518916293
2014-04-09,0.9872852126120678,1.021296786397387,0.9415212209723922,1.0073625987462913
2014-04-10,0.988500444730878,1.022368057561846,0.941895594731884,1.0077941839918942
2014-04-11,0.9896860855063631,1.0233570854676162,0.942496319301808,1.0081907016514178
2014-04-14,0.9909631479522197,1.0255284480837672,0.9429391476713356,1.0086852029149496
2014-04-15,0.9919863170840741,1.0263396337292958,0.9432598862174021,1.0091924346268302
2014-04-16,0.993026393131721,1.0272752386636104,0.9436970101012767,1.0097349725024034
2014-04-17,0.9941155884602966,1.0322822363699373,0.9439521110772193,1.010175402068009
2014-04-18,0.9952183686315496,1.0315617291891166,0.9438987913672521,1.0106186500625343
2014-04-21,0.9964345084799333,1.0322548219503744,0.9438288670163673,1.0110839946786168
2014-04-22,0.9973627761844204,1.0326400296919254,0.9434907836721569,1.011555100975127
2014-04-23,0.9979276349682429,1.0311751155798958,0.943298163415209,1.0120530050741696
2014-04-24,0.9983883910761474,1.0311828478520804,0.9431543807062337,1.012634601675328
2014-04-25,0.9985774573403488,1.031305158339361,0.9426964515972543,1.0131809134887826
2014-04-28,0.9986653210931628,1.031676307404213,0.9419347041666499,1.0137390559135853
2014-04-29,0.9988464593993548,1.032270286494743,0.9412024473661355,1.0142447868917737
2014-04-30,0.998858218150908,1.0337647238278402,0.9401186875806528,1.0147480728989204
2014-05-01,0.9988441864019809,1.0337647238278402,0.9392635121906759,1.015212620522055
2014-05-02,0.9988617829562172,1.0337647238278402,0.9384815331333526,1.015677806202624
2014-05-04,0.9988640424768278,1.0337647238278402,0.9378111248809282,1.0161035049494775
2014-05-05,0.9987430518083608,1.0361905484922422,0.9369632017792777,1.0165272945552908
2014-05-06,0.9985548167464604,1.0389010613597973,0.9364184256987448,1.0169860419374885
2014-05-07,0.997980022722925,1.0401410366446437,0.9355683599108908,1.0174120168195697
2014-05-08,0.997413905484202,1.0437583341592807,0.9344999358999192,1.0178328563392254
2014-05-09,0.9966814229617383,1.0528437539759696,0.9335480376243593,1.0182223032289217
2014-05-12,0.9962763288417064,1.0525970241999032,0.932897705719169,1.0186867440772114
2014-05-13,0.9959093881104462,1.0515264559692792,0.9324173912814889,1.0191224046945775
2014-05-14,0.9959223306169005,1.050095282681327,0.9321405270915444,1.019530442414726
2014-05-15,0.9957925183072732,1.0497395981608442,0.9317849048166764,1.019862381429993
2014-05-16,0.9956043962514283,1.0495385590840491,0.9312544363947383,1.020293457928471
2014-05-19,0.9953178583887106,1.0505367251296738,0.9311124742494694,1.0206889115938695
2014-05-20,0.9950572257657622,1.051092745793117,0.9310296773749223,1.0210454647246847
2014-05-21,0.9948582615382913,1.0511665538457862,0.9315769535351456,1.0213930435051761
2014-05-22,0.9947777962647506,1.0512298178909314,0.9322735267998566,1.0216868274491764
2014-05-23,0.9946837778239194,1.0527242552240286,0.9328091784506095,1.0219377744761462
2014-05-26,0.9947843530351564,1.0526532589066988,0.9337273628621371,1.02221015778333
2014-05-27,0.9949098935786674,1.053130550980628,0.9348796415877374,1.0224664099013843
